Name,Provider Discounts,Radius,Pricing,Is Live,Base Price,latitude,longitude,Weekly,TenDay,BiWeekly,partners
"AUSTIN, TX","
With Insurance: 65.0%


Without Insurance: 65.0%
",40,"


-> Base Price:
5320.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
3500.0

-> Dog Poop Pricing:
0.5



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $223.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $199.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $255.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $128.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $190.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",53.2,30.2671344,-97.8131019,42.56,45.22,47.88,31.122000000000003
"CHICAGO, IL","
With Insurance: 65.0%


Without Insurance: 65.0%
",50,"


-> Base Price:
5564.0

-> Flower Bed Pricing:
0.65

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
0.5



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $259.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $299.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $149.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $223.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",55.64,41.8780923,-87.6998388,44.512,47.294,50.076,32.5494
"BOSTON, MA","
With Insurance: 65.0%


Without Insurance: 65.0%
",60,"


-> Base Price:
6683.0

-> Flower Bed Pricing:
0.7

-> Edging Pricing:
0.7

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
5000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $280.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $320.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $160.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $240.0 (leavz)

-> Flower Bed Blowout (Small)
: $30.0 (mowz)

-> Flower Bed Weeding (Small)
: $60.0 (mowz)

-> Flower Bed Blowout (Large)
: $90.0 (mowz)

-> Flower Bed Weeding (Large)
: $180.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",66.83,42.3600612,-71.1289207,53.464,56.805499999999995,60.147,39.09555
"DENVER, CO ","
With Insurance: 65.0%


Without Insurance: 65.0%
",40,"


-> Base Price:
5564.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $250.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $290.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $190.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $150.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",55.64,39.7392148,-105.0602917,44.512,47.294,50.076,32.5494
"DALLAS, TX","
With Insurance: 65.0%


Without Insurance: 65.0%
",40,"


-> Base Price:
5806.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $225.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $275.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $175.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $125.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",58.06,32.7766447,-96.8670289,46.44800000000001,49.351,52.254000000000005,33.96510000000001
"SYRACUSE, NY","
With Insurance: 65.0%


Without Insurance: 65.0%
",55,"


-> Base Price:
5080.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
3500.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $238.14 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $136.08 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $204.12 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $272.16 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",50.8,43.0481007,-76.217465,40.64,43.18,45.72,29.718
"ROCHESTER, NY","
With Insurance: 65.0%


Without Insurance: 65.0%
",30,"


-> Base Price:
5080.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
3500.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $225.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $275.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $175.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $135.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",50.8,43.1861601,-77.6864388,40.64,43.18,45.72,29.718
"ALBANY, NY","
With Insurance: 65.0%


Without Insurance: 65.0%
",30,"


-> Base Price:
5564.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $225.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $275.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $175.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $135.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",55.64,42.652558,-73.8262723,44.512,47.294,50.076,32.5494
"RALEIGH, NC","
With Insurance: 65.0%


Without Insurance: 65.0%
",30,"


-> Base Price:
5322.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $225.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $275.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $175.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $135.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",53.22,35.7795694,-78.7082196,42.576,45.236999999999995,47.898,31.133700000000005
"CHARLOTTE, NC","
With Insurance: 65.0%


Without Insurance: 65.0%
",35,"


-> Base Price:
5564.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $225.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $275.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $175.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $135.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",55.64,35.2270667,-80.9131676,44.512,47.294,50.076,32.5494
"COLUMBUS, OH","
With Insurance: 65.0%


Without Insurance: 65.0%
",30,"


-> Base Price:
5589.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $225.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $275.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $135.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $175.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",55.89,39.9826142,-83.2710139,44.712,47.5065,50.301,32.69565
"CLEVELAND, OH","
With Insurance: 65.0%


Without Insurance: 65.0%
",55,"


-> Base Price:
5080.0

-> Flower Bed Pricing:
0.55

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $250.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $300.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $200.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $150.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",50.8,41.4992988,-81.7644011,40.64,43.18,45.72,29.718
"CINCINNATI, OH","
With Insurance: 65.0%


Without Insurance: 65.0%
",40,"


-> Base Price:
5080.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $250.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $300.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $200.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $150.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",50.8,39.1030972,-84.5820603,40.64,43.18,45.72,29.718
"BUFFALO, NY","
With Insurance: 65.0%


Without Insurance: 65.0%
",20,"


-> Base Price:
5080.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $225.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $275.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $175.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $135.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",50.8,42.8864255,-78.9484095,40.64,43.18,45.72,29.718
"MILWAUKEE, WI","
With Insurance: 65.0%


Without Insurance: 65.0%
",40,"


-> Base Price:
5080.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Gutter Cleaning (Mid-Size 2 Story Home)
: $225.0 (leavz)

-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $275.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $175.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",50.8,43.0388811,-87.9765142,40.64,43.18,45.72,29.718
"INDIANAPOLIS, IN","
With Insurance: 65.0%


Without Insurance: 65.0%
",40,"


-> Base Price:
5080.0

-> Flower Bed Pricing:
0.6

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $240.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $290.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $190.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $140.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",50.8,39.768382,-86.2281087,40.64,43.18,45.72,29.718
"PITTSBURGH, PA","
With Insurance: 65.0%


Without Insurance: 65.0%
",25,"


-> Base Price:
5564.0

-> Flower Bed Pricing:
0.5

-> Edging Pricing:
0.5

-> Grass Length Pricing:
[""0"", ""50"", ""125"", ""250""]

-> Lawn Size Pricing:
1.25

-> Shrub Trimming Pricing:
4000.0

-> Dog Poop Pricing:
1.0



Addon Pricing:


-> Flower Bed Leaf Removal (Average)
: $79.0 (leavz)

-> Gutter Cleaning (Mid-Size 2 Story Home)
: $240.0 (leavz)

-> Flower Bed Leaf Removal (Large)
: $200.0 (leavz)

-> Gutter Cleaning (Large 2 Story Home)
: $290.0 (leavz)

-> Flower Bed Leaf Removal (Small)
: $39.0 (leavz)

-> Gutter Cleaning (Medium 1 Story Home)
: $190.0 (leavz)

-> Gutter Cleaning (Small 1 Story Home)
: $140.0 (leavz)

-> Flower Bed Blowout (Small)
: $20.0 (mowz)

-> Flower Bed Weeding (Small)
: $40.0 (mowz)

-> Flower Bed Blowout (Large)
: $60.0 (mowz)

-> Flower Bed Weeding (Large)
: $120.0 (mowz)

","
Is Live: true


Message:


From Date: 


To Date: 
",55.64,40.4406037,-80.0659271,44.512,47.294,50.076,32.5494
